decade, abiealba, piceabie, fagusilv, pinusilv, querpetr, elevation, area
2, 0, 42.898, 2.23102, 0, 34.1663, 817, 0.0625
2, 0.545033, 18.5475, 17.4623, 21.1947, 25.6628, 818, 0.125
2, 0, 20.9614, 41.9007, 15.4967, 6.56378, 819, 0.125
2, 0.139449, 18.9511, 27.6298, 27.0015, 13.5076, 820, 0.125
2, 0.0685106, 20.4436, 34.1154, 16.7022, 14.3447, 821, 0.1875
2, 0, 26.9935, 14.4429, 28.4644, 13.0056, 822, 0.125
2, 0.900155, 19.1382, 27.1403, 25.1888, 7.79677, 823, 0.25
2, 0.111273, 16.9922, 26.9654, 19.919, 16.9837, 824, 0.125
2, 0.06958, 17.1488, 32.6972, 17.5275, 16.4405, 825, 0.1875
2, 0, 28.5969, 34.8589, 6.88272, 9.34035, 826, 0.25
2, 1.07077, 13.389, 22.6836, 35.3745, 17.3825, 827, 0.1875
2, 2.10028, 17.4123, 29.3793, 21.8302, 9.87508, 828, 0.3125
2, 0, 24.1826, 13.1568, 24.4116, 25.868, 829, 0.1875
2, 0.834379, 23.0391, 24.9019, 11.9884, 19.4458, 830, 0.3125
2, 0, 19.9489, 28.4823, 18.2533, 14.1257, 831, 0.1875
2, 0.596491, 21.1382, 25.7752, 27.5216, 12.702, 832, 0.3125
2, 1.34876, 32.3214, 20.6226, 19.447, 10.1692, 833, 0.375
2, 0.288593, 14.5807, 31.5177, 21.2537, 15.2299, 834, 0.25
2, 0.854065, 13.9649, 31.2311, 17.649, 17.776, 835, 0.4375
2, 0.897813, 18.2961, 25.9336, 28.2186, 8.60754, 836, 0.25
2, 0, 16.851, 27.7706, 24.5601, 15.8157, 837, 0.25
2, 0.708541, 22.1612, 28.0611, 19.6222, 10.7603, 838, 0.4375
2, 0, 13.8551, 44.1014, 12.1889, 9.9102, 839, 0.25
2, 0.910591, 22.6965, 26.1213, 19.2383, 12.0329, 840, 0.5625
2, 0.445586, 25.283, 29.7891, 14.6862, 11.3183, 841, 0.25
2, 0.192322, 22.0925, 24.885, 24.3967, 10.0585, 842, 0.375
2, 0.511024, 17.4826, 30.8329, 17.3753, 16.1767, 843, 0.4375
2, 0.0673319, 24.3531, 27.6953, 16.4361, 12.1732, 844, 0.375
2, 0.137194, 15.9403, 28.1907, 24.0464, 16.6114, 845, 0.5
2, 0.868632, 23.6733, 23.1914, 22.8251, 11.0745, 846, 0.3125
2, 0.262839, 18.6758, 21.7511, 26.752, 17.013, 847, 0.4375
2, 1.0196, 21.9911, 24.4085, 19.2978, 9.83922, 848, 0.4375
2, 1.4688, 17.7101, 22.9456, 19.2989, 19.6889, 849, 0.375
2, 0.903814, 18.4776, 29.1866, 20.4841, 12.704, 850, 0.6875
2, 0.965558, 22.6374, 21.7508, 21.759, 12.935, 851, 0.3125
2, 1.10131, 17.3292, 32.1078, 22.1929, 9.56731, 852, 0.4375
2, 0.296142, 19.5838, 25.7776, 22.9609, 15.2192, 853, 0.75
2, 0.0612846, 21.1404, 29.8222, 17.1854, 11.2796, 854, 0.375
2, 0.278576, 23.5551, 20.7137, 25.3441, 11.922, 855, 0.9375
2, 0.945715, 21.6899, 21.3772, 26.7604, 9.13682, 856, 0.375
2, 0.375932, 15.8135, 32.3684, 22.9208, 12.2321, 857, 0.625
2, 0.564005, 17.3946, 20.0519, 24.9121, 16.5934, 858, 1
2, 0.614447, 18.9797, 25.6019, 23.9091, 9.88577, 859, 0.5
2, 0.243354, 22.494, 29.3336, 15.5144, 13.7942, 860, 0.8125
2, 0.285289, 19.8328, 26.7, 19.6383, 17.6372, 861, 1
2, 0.602394, 19.9861, 23.5083, 22.3838, 15.7519, 862, 0.75
2, 0.474271, 21.2045, 26.1952, 18.1637, 13.1871, 863, 1.0625
2, 0.140675, 18.2884, 27.4073, 20.1643, 14.8522, 864, 0.6875
2, 0.507223, 22.8753, 24.3221, 21.6318, 12.2305, 865, 0.5625
2, 0.313885, 21.5592, 27.5897, 20.3655, 10.6248, 866, 1.125
2, 0.877069, 18.1086, 26.6509, 19.3642, 14.3879, 867, 0.8125
2, 0.443365, 17.2041, 28.2618, 18.9968, 18.9186, 868, 0.75
2, 0.631237, 20.4824, 24.4066, 22.4725, 10.6024, 869, 1
2, 0.813166, 23.2157, 22.768, 24.2288, 7.27566, 870, 0.8125
2, 0.895336, 19.5574, 27.7026, 16.5642, 12.7244, 871, 0.9375
2, 0.76573, 22.5157, 19.7054, 27.4118, 11.0912, 872, 0.9375
2, 0.730768, 25.197, 19.1255, 22.2776, 10.1975, 873, 0.8125
2, 0.880893, 18.3672, 22.9232, 28.5564, 10.1855, 874, 1.125
2, 0.391013, 18.3365, 24.5553, 22.3241, 16.188, 875, 0.625
2, 1.07901, 20.3944, 19.2437, 25.5919, 11.3056, 876, 0.9375
2, 0.513453, 20.61, 23.0924, 24.3392, 12.7989, 877, 1.1875
2, 0.164317, 21.0844, 25.4404, 22.2478, 11.3418, 878, 0.625
2, 0.745045, 21.5619, 21.8815, 24.4546, 11.1275, 879, 1
2, 0.632171, 19.7467, 27.4696, 21.9304, 9.15384, 880, 1.1875
2, 0.455299, 18.0598, 24.5586, 23.9377, 11.6527, 881, 0.8125
2, 0.806195, 19.7578, 20.6717, 26.4659, 11.8793, 882, 0.8125
2, 0.452056, 21.0908, 21.0384, 27.9768, 9.01608, 883, 1.125
2, 0.759598, 23.1242, 22.2594, 23.0031, 9.02864, 884, 1
2, 0.470356, 20.6095, 23.2499, 24.0253, 11.5845, 885, 0.9375
2, 0.322635, 18.9325, 24.1883, 27.2197, 9.05227, 886, 1.0625
2, 0.756247, 20.2686, 23.5161, 24.0719, 9.6877, 887, 1.125
2, 0.640282, 20.3922, 21.3742, 28.6703, 11.7088, 888, 1.1875
2, 0.58964, 23.2799, 21.6628, 22.0083, 11.0041, 889, 0.625
2, 0.623957, 19.8056, 23.6043, 26.682, 11.67, 890, 1.125
2, 1.11211, 24.2701, 20.437, 24.9471, 8.99493, 891, 1.125
2, 0.0973802, 23.1981, 22.8769, 22.1137, 7.87461, 892, 0.75
2, 0.678034, 19.4939, 20.759, 28.0466, 10.2099, 893, 0.875
2, 0.843934, 20.1274, 25.2183, 23.1089, 10.4613, 894, 1.25
2, 0.188005, 20.4201, 24.9908, 22.8192, 11.1314, 895, 0.9375
2, 0.076734, 18.6107, 23.6115, 29.2904, 8.82198, 896, 0.75
2, 0.83411, 22.6429, 24.3899, 21.0036, 11.8743, 897, 1.125
